SL,District,YEAR,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Arson,Grievous Hurt,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Insult to the Modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Offences against State,Offences promoting enmity between different groups,Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
1,Angul,2015,61,39,0,0,55,7,113,27,0,117,193,507,0,76,9,89,0,0,12,38,1,287,17,164,0,184,0,0,17,0,220,2,1,1066,3302
2,Balasore,2015,80,106,1,0,125,18,222,20,5,89,257,383,5,68,5,164,0,1,25,226,0,591,17,97,0,208,0,0,47,0,276,1,0,929,3966
3,Baragarh,2015,42,172,0,0,85,0,101,7,5,58,149,288,35,164,7,103,13,2,17,41,17,320,20,171,0,119,0,0,10,0,185,0,0,1105,3236
4,Berhampur,2015,16,75,0,0,40,0,74,9,0,60,82,212,0,33,67,73,0,0,23,27,0,95,21,236,0,117,0,0,21,0,128,0,2,158,1569
5,Bhadrak,2015,25,119,0,0,79,0,143,8,0,30,112,218,0,23,15,87,0,1,19,40,12,259,19,177,0,95,0,0,12,0,178,0,1,1361,3033
6,Bolangir,2015,49,83,0,0,73,0,108,3,2,26,127,228,0,102,14,35,0,2,28,381,12,315,9,85,0,114,0,0,14,0,182,2,1,931,2926
7,Boudh,2015,19,30,0,0,27,0,16,5,0,19,23,39,2,24,2,14,1,0,13,86,8,113,4,23,0,43,0,0,1,0,78,1,0,142,733
8,Cuttack,2015,53,43,0,0,46,0,73,20,3,52,95,167,0,37,12,63,0,0,16,83,0,55,18,29,0,143,0,0,15,0,210,0,0,1564,2797
9,DCP BBSR,2015,44,51,0,0,87,0,201,13,11,156,266,1788,0,107,35,622,0,5,34,905,22,130,20,143,0,171,0,0,18,0,0,0,0,2028,6857
10,DCP CTC,2015,22,29,9,0,40,0,123,7,5,61,112,540,0,31,13,208,0,2,12,1,14,73,2,45,0,111,0,0,17,0,212,4,0,1030,2723
11,Deogarh,2015,22,32,1,0,24,3,28,5,0,17,28,68,0,10,2,8,0,0,6,62,2,126,12,31,0,47,0,0,2,0,13,0,0,357,906
12,Dhenkanal,2015,46,126,0,0,50,3,59,15,4,65,153,224,0,64,16,65,0,1,8,37,13,442,34,43,0,160,0,0,24,0,200,5,2,356,2215
13,Gajapati,2015,13,22,0,0,26,0,13,1,0,7,21,22,0,27,6,20,0,0,2,6,2,78,1,10,0,47,0,0,2,0,47,5,0,52,430
14,Ganjam,2015,73,286,0,0,91,0,158,20,0,58,139,209,0,80,46,69,0,0,36,704,19,184,33,112,0,143,0,0,30,0,285,0,1,442,3218
15,Jagatsinghpur,2015,32,77,0,0,48,0,77,6,13,57,142,235,0,72,13,107,0,1,23,207,27,195,15,114,0,204,0,0,81,0,0,0,0,498,2244
16,Jajpur,2015,76,4,0,0,125,21,132,14,0,89,236,391,0,66,5,100,0,0,12,436,46,189,19,194,0,247,0,0,5,0,241,0,0,1069,3717
17,Jharsuguda,2015,23,44,0,0,45,0,58,8,1,61,154,266,73,41,19,44,0,0,8,320,4,114,2,51,0,91,0,0,16,0,164,2,0,74,1683
18,Kalahandi,2015,45,62,0,0,67,4,122,3,0,21,73,97,0,103,25,92,0,1,17,0,7,382,25,180,0,81,8,0,9,0,225,0,0,1143,2792
19,Kandhamal,2015,30,49,0,0,80,13,95,9,0,15,48,99,19,19,5,15,1,0,5,34,7,80,16,217,0,49,4,0,4,0,141,7,0,187,1248
20,Kendrapara,2015,55,48,0,0,44,18,101,5,8,46,117,122,22,66,3,62,7,0,24,104,18,196,21,228,0,61,0,0,11,0,114,0,0,1198,2699
21,Keonjhar,2015,84,116,0,0,107,5,100,16,2,27,117,226,0,29,62,56,0,1,11,86,11,309,11,93,0,208,0,0,14,0,481,1,1,688,2862
22,Khurda,2015,32,70,0,0,50,0,90,12,6,69,81,207,0,54,29,72,0,0,25,17,17,74,19,116,0,118,0,0,18,0,179,1,3,864,2223
23,Koraput,2015,53,60,0,0,119,0,112,17,0,64,119,150,0,71,6,45,0,1,2,0,12,164,9,154,0,148,0,0,13,0,384,0,0,393,2096
24,Malkangiri,2015,36,43,0,0,28,0,34,3,0,6,27,45,0,28,0,35,0,0,6,6,4,66,5,14,0,53,0,0,9,0,2,0,0,88,538
25,Mayurbhanj,2015,107,165,1,0,154,14,138,7,5,35,160,207,41,52,14,80,0,0,17,67,0,301,28,242,0,196,0,0,22,0,276,5,0,574,2908
26,Nayagarh,2015,35,51,0,0,35,7,72,16,0,26,51,180,12,27,6,50,0,3,12,32,20,79,4,21,0,79,0,0,1,0,124,1,0,600,1544
27,Nabarangpur,2015,24,63,0,0,101,3,110,7,0,10,31,50,0,104,0,54,0,0,5,70,3,281,20,100,0,66,0,0,4,0,138,0,0,471,1715
28,Nuapada,2015,12,20,0,0,24,0,44,8,0,9,34,76,0,20,2,32,0,0,8,12,1,97,6,75,0,98,0,0,10,0,0,0,0,448,1036
29,Puri,2015,56,67,0,0,64,8,164,14,16,83,213,421,0,115,9,94,0,0,25,167,26,139,7,70,0,147,0,0,17,0,0,0,0,2632,4554
30,Rayagada,2015,31,50,0,0,66,0,104,6,0,23,79,118,0,52,31,40,1,2,11,3,5,88,13,56,0,102,2,0,10,0,148,2,0,329,1372
31,Rourkela,2015,48,46,0,0,70,0,100,12,8,100,202,556,0,62,10,98,0,0,7,125,4,192,5,83,0,179,0,0,19,0,245,0,3,612,2786
32,Sambalpur,2015,57,78,14,0,91,11,57,25,9,151,256,487,0,70,14,96,0,2,19,0,14,240,10,129,0,189,0,0,43,0,349,3,3,1058,3475
33,Sonepur,2015,18,48,0,0,22,2,17,6,0,10,30,78,0,28,4,32,0,1,6,18,8,111,4,18,0,50,0,0,4,0,113,0,0,198,826
34,SRP (Cuttack),2015,2,1,0,0,3,0,5,6,2,15,3,502,0,1,1,3,1,0,3,0,0,8,0,0,0,2,0,0,2,0,4,4,0,61,629
35,SRP (Rourkela),2015,5,5,0,0,1,0,8,3,0,15,33,420,0,2,0,7,0,0,0,1,0,4,2,2,0,2,0,0,1,0,1,0,0,69,581
36,Sundargarh,2015,47,66,0,0,59,0,64,16,2,40,83,229,13,48,6,71,1,0,8,21,0,122,3,82,0,195,0,2,29,0,167,14,0,477,1865
37,"CID, CB",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,48
38,HRPC,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,8
39,Total District(s),2015,1473,2446,26,0,2251,137,3236,379,107,1787,4046,10055,222,1976,513,2925,25,26,505,4363,356,6499,472,3605,0,4267,14,2,572,0,5710,60,18,25287,83360
